Piezo Acc LSTM test,Piezo Acc LSTM train,Optical 1 LSTM test,Optical 1 LSTM train,Optical 1 CNN test,Optical 1 CNN train,Optical 2 CNN test,Optical 2 CNN train,Piezo LSTM test,Piezo LSTM train
0.84,0.9004166666666665,0.9977223487584024,0.9987359531052492,0.9997619614377529,0.9999404797333492,0.8997857652939776,0.9154217010892209,0.7766666666666666,0.85875
0.8566666666666667,0.9008333333333334,0.9993889228376202,0.9995693906182717,0.9997619614377529,0.9999404797333492,0.8593192097119733,0.8957800130944588,0.7783333333333333,0.8441666666666666
0.8616666666666667,0.9016666666666666,0.9593911449363924,0.9537303274020363,0.9997619614377529,0.9999404797333492,0.8712211378243275,0.892208797095411,0.7833333333333333,0.8479166666666668
0.8583333333333333,0.9083333333333333,0.9993889228376202,0.9999861093747829,0.9997619614377529,0.9999404797333492,0.8950249940490359,0.9207785250877925,0.7783333333333333,0.8491666666666666
0.865,0.9008333333333334,0.9993889228376202,0.999708296870442,0.9997619614377529,0.9999404797333492,0.9307307783860985,0.9428010237485864,0.7633333333333333,0.8666666666666667
0.855,0.9008333333333334,0.9999444475306928,0.9995693906182717,0.9997619614377529,0.9999404797333492,0.87836229469174,0.8803047437652521,0.7733333333333333,0.8595833333333335
0.8566666666666667,0.9004166666666665,0.9993889228376202,0.9995693906182717,0.9997619614377529,0.9999404797333492,0.9426327064984527,0.9493482530801739,0.7666666666666667,0.8629166666666667
0.8516666666666667,0.9004166666666665,0.9843897561246598,0.9899848592185134,0.9997619614377529,0.9999404797333492,0.9093073077838609,0.9178025117552527,0.7766666666666666,0.845
0.85,0.9033333333333333,0.9993889228376202,0.9999861093747829,0.9997619614377529,0.9999404797333492,0.8426565103546774,0.8445925837747753,0.7783333333333333,0.84625
0.85,0.9008333333333334,0.9999444475306928,0.9999861093747829,0.9997619614377529,0.9999404797333492,0.8759819090692692,0.8904231890958872,0.7633333333333333,0.8404166666666667
0.8633333333333333,0.9045833333333333,0.9988333981445475,0.9998472031226125,0.9997619614377529,0.9999404797333492,0.8593192097119733,0.870186298434617,0.7616666666666667,0.8325
0.8466666666666667,0.9004166666666665,0.9999444475306928,0.9998472031226125,0.9997619614377529,0.9999404797333492,0.8807426803142109,0.8767335277662044,0.78,0.8733333333333333
0.8483333333333334,0.9020833333333332,0.9999444475306928,0.9995693906182717,0.9997619614377529,0.9999404797333492,0.9093073077838609,0.9273257544193798,0.7816666666666666,0.8454166666666667
0.855,0.9004166666666665,0.9999444475306928,0.9994304843661013,0.9997619614377529,0.9999404797333492,0.8997857652939776,0.9303017677519195,0.7666666666666667,0.8529166666666668
0.865,0.9004166666666665,0.9338370090550525,0.9406731396980178,0.9997619614377529,0.9999404797333492,0.9069269221613901,0.9124456877566812,0.7716666666666666,0.83375
0.855,0.90125,0.9821676573523693,0.9849842341403786,0.9997619614377529,0.9999404797333492,0.8997857652939776,0.8820903517647759,0.7766666666666666,0.8395833333333332
0.845,0.9008333333333334,0.9988333981445475,0.9995693906182717,0.9997619614377529,0.9999404797333492,0.8736015234467983,0.8975656210939825,0.7766666666666666,0.8579166666666667
0.855,0.9004166666666665,0.9999444475306928,0.999708296870442,0.9997619614377529,0.9999404797333492,0.8616995953344442,0.8666150824355694,0.7766666666666666,0.8529166666666668
0.8633333333333333,0.90125,0.998277873451475,0.9998472031226125,0.9997619614377529,0.9999404797333492,0.9164484646512735,0.9231593357538243,0.78,0.8516666666666667
0.8583333333333333,0.9004166666666665,0.9493917004610856,0.9574807962106374,0.9997619614377529,0.9999404797333492,0.937871935253511,0.9279209570858878,0.7633333333333333,0.845
